Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.38993305,5.178664444,0.377154,25.07,6.5872536,5,1
97.39202514,5.178664444,0.413154,25.07,6.5872536,5,1
97.39411723,5.178664444,0.44099,25.07,6.5872536,5,1
97.39620932,5.178664444,0.453714,25.07,6.5872536,5,1
97.39830141,5.178664444,0.451024,25.07,6.5872536,5,1
97.4003935,5.178664444,0.442632,25.07,7.083216,5,1
97.40248559,5.178664444,0.432926,25.07,7.083216,5,1
97.40457768,5.178664444,0.408974,25.07,7.083216,5,1
97.40666977,5.178664444,0.385928,25.07,7.083216,5,1
97.40876186,5.178664444,0.391064,25.07,7.083216,5,1
97.41085395,5.178664444,0.404792,25.07,7.083216,5,1
97.41294604,5.178664444,0.40359,25.07,7.083216,5,1
97.28919214,5.176580893,-0.065566667,24.33,6.3384004,4,0
97.29128423,5.176580893,-0.044588889,24.33,6.3384004,4,0
97.29337631,5.176580893,-0.023417857,24.33,6.3384004,4,0
97.29546839,5.176580893,0.059735714,24.33,6.3384004,4,0
97.29756048,5.176580893,0.199039535,24.39,6.3384004,4,0
97.29965256,5.176580893,0.289681395,24.39,6.3384004,5,0
97.30174464,5.176580893,0.328997959,24.39,6.5872536,5,0
97.30383673,5.176580893,0.286130612,24.39,6.5872536,5,0
97.31429714,5.176580893,0.18885,24.57,6.5872536,4,0
97.31638923,5.176580893,0.195462,24.57,6.5872536,4,0
97.31848131,5.176580893,0.165664,24.57,6.5872536,4,0
97.32057339,5.176580893,0.14247,24.57,6.5872536,4,0
97.32266548,5.176580893,0.102869388,24.57,6.5872536,4,0
97.32475756,5.176580893,0.081291837,24.57,6.5872536,4,0
97.32684964,5.176580893,0.074297917,24.57,6.5872536,4,0
97.32894173,5.176580893,0.076225,24.57,6.5872536,4,0
97.33103381,5.176580893,0.101778049,24.71,6.5872536,4,0
97.33312589,5.176580893,0.116202439,24.71,6.5872536,4,0
97.33521797,5.176580893,0.145357692,24.71,6.5872536,4,0
97.33731006,5.176580893,0.144073077,24.71,6.5872536,4,0
97.33940214,5.176580893,0.109704545,25.09,6.5872536,4,0
97.34149422,5.176580893,0.096386364,25.09,6.5872536,4,0
97.34358631,5.176580893,0.099372727,25.09,6.5872536,4,0
97.34567839,5.176580893,0.149063636,25.09,6.5872536,4,0
97.35613881,5.176580893,0.3965,25.27,6.5872536,5,1
97.35823089,5.176580893,0.424966667,25.27,6.5872536,5,1
97.36032297,5.176580893,0.420086,25.27,6.5872536,5,1
97.36241506,5.176580893,0.339782,25.27,6.5872536,5,1
97.36450714,5.176580893,0.287136,25.27,6.5872536,5,1
97.36659922,5.176580893,0.302516,25.27,6.5872536,5,1
97.36869131,5.176580893,0.336036,25.27,6.5872536,5,1
97.37078339,5.176580893,0.346524,25.27,6.5872536,5,1
97.37287547,5.176580893,0.348998,25.39,6.5872536,5,1
97.37496756,5.176580893,0.36333,25.39,6.5872536,5,1
97.37705964,5.176580893,0.39821,25.39,6.5872536,5,1
97.37915172,5.176580893,0.390624,25.39,6.5872536,5,1
97.38124381,5.176580893,0.376872,25.51,6.5872536,5,1
97.38333589,5.176580893,0.353772,25.51,6.5872536,5,1
97.38542797,5.176580893,0.320716,25.51,6.5872536,5,1
97.38752006,5.176580893,0.33121,25.51,6.5872536,5,1
97.38961214,5.176580893,0.332566,25.45,6.5872536,5,1
97.39170422,5.176580893,0.362178,25.45,6.5872536,5,1
97.3937963,5.176580893,0.412168,25.45,6.5872536,5,1
97.39588839,5.176580893,0.428458,25.45,6.5872536,5,1
97.39798047,5.176580893,0.427852,25.33,6.5872536,5,1
97.40007255,5.176580893,0.431956,25.33,7.083216,5,1
97.40216464,5.176580893,0.464512,25.33,7.083216,5,1
97.40425672,5.176580893,0.465972,25.33,7.083216,5,1
97.4063488,5.176580893,0.450554,25.27,7.083216,5,1
97.40844089,5.176580893,0.407192,25.27,7.083216,5,1
97.41053297,5.176580893,0.379312,25.27,7.083216,5,1
97.41262505,5.176580893,0.348552,25.27,7.083216,5,1
97.41471714,5.176580893,0.334022,25.95,7.083216,5,1
97.41680922,5.176580893,0.318192,25.95,7.083216,5,1
97.4189013,5.176580893,0.316642,25.95,7.083216,5,1
97.42099339,5.176580893,0.3143,25.95,7.083216,5,1
97.28887169,5.174497343,-0.036904348,24.33,6.3384004,4,0
97.29096377,5.174497343,0.041854348,24.33,6.3384004,4,0
97.29305585,5.174497343,0.165816327,24.33,6.3384004,4,0
97.29514792,5.174497343,0.245993878,24.33,6.3384004,4,0
97.29724,5.174497343,0.3263875,24.39,6.3384004,5,0
97.29933207,5.174497343,0.337575,24.39,6.3384004,5,0
97.30142415,5.174497343,0.308826,24.39,6.5872536,5,0
97.30351623,5.174497343,0.250592,24.39,6.5872536,4,0
97.31397661,5.174497343,0.18965,24.57,6.5872536,4,0
97.31606869,5.174497343,0.213948,24.57,6.5872536,4,0
97.31816076,5.174497343,0.215254,24.57,6.5872536,4,0
